-180 -0.0078947
-173.39 0.52134
-170.67 0.58067
-164.84 0.62435
-160.56 0.60875
-154.73 0.53795
-143.46 0.48318
-120.91 0.34996
-101.86 0.16132
-89.2647   0.0056285
-79.1667   -0.14259
-70.4124   -0.25328
-61.5168   -0.35084
-51.3036   -0.42589
-41.9931   -0.45966
-35.3529   -0.46154
-29.7549   -0.44278
-20.0457   -0.37899
-14.0157   -0.33396
-11.6532   -0.33959
-9.2862    -0.35272
-7.5213    -0.33959
-6.9426    -0.31332
0	0.1886
1	0.2569
2	0.3247
3	0.3926
4	0.4601
5	0.5273
6	0.5942
7	0.6607
8	0.7268
9	0.7924
10.0458    0.80488
11.5947    0.80394
12.9321    0.78236
16.9866    0.62195
18.3276    0.59381
20.475     0.57505
29.1186    0.54690
41.7564    0.49531
51.7401    0.43996
60.9174    0.37242
70.2468    0.29362
79.8183    0.17073
86.8734    0.06379
90.297     0.0037523
101.86 -0.17711
117.41 -0.36985
135.29 -0.4717
153.56 -0.41169
161.73 -0.3837
169.11 -0.38732
174.95 -0.29233
180.00 0.0039644
